"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"PT1D1","17431.5792300565","84.2184415828555","46.0","7.9","12.5","41.5","-4.6"
"NL321","37321.1464680659","103.157983131531","12.7","9.3","9.8","12.2","-0.5"
"DEA34","43714.8470750732","47.8609783126596","11.7","9.8","12.0","9.5","-2.2"
"SK032","16085.5800291794","57.7146666752552","-1.9","8.9","12.1","-5.2","-3.3"
"DEA15","39426.5539212493","42.3753165696683","28.3","9.6","13.9","24.0","-4.3"
"ES113","26720.683704495","75.9306434382447","13.1","4.4","16.4","1.1","-12.0"
"IE041","29995.2143085033","87.9281527230823","22.9","10.3","7.6","25.6","2.7"
"DEB13","31237.0320514308","38.9908789193956","23.9","9.0","14.5","18.4","-5.5"
"FRD21","27647.3669768254","38.2501392803985","2.2","10.4","10.2","2.3","0.2"
"FRJ27","25768.3608973971","58.0561781870318","7.0","8.5","12.6","3.0","-4.1"
"CZ042","19701.1383180331","51.8714529264061","19.9","9.0","12.3","16.7","-3.3"
"RS121","5721.8998703863","147.420445047424","-58.1","8.5","19.5","-69.1","-11.0"
