"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"ITH5","40780.5275315081","109.731036935702","8.5","6.7","12.4","2.8","-5.7"
"FI1D","41498.3300630237","52.1811173553408","2.6","7.7","12.9","-2.6","-5.2"
"FRE1","30558.7093549252","34.0193368166976","-1.7","10.8","10.0","-0.9","0.8"
"BE32","29777.7977908962","54.7736085694861","6.3","9.8","11.4","4.7","-1.6"
"DEA5","41013.7833676789","39.6130525891813","6.4","9.0","14.0","1.4","-5.0"
"SE32","46263.0399710828","30.0334620608271","2.4","8.5","11.7","-0.8","-3.2"
"ES23","30560.0140167763","71.0225050607446","12.3","6.8","10.8","8.3","-4.0"
"ITI1","35613.7231173586","115.009018093788","7.1","5.9","13.4","-0.3","-7.5"
"BE25","47745.5232891375","94.5638582714883","11.8","8.8","11.5","9.2","-2.6"
"RS22","6814.76822162191","209.599941125952","-16.5","8.4","18.1","-26.2","-9.7"
"DE72","39606.8673775773","43.872797438057","-9.3","8.8","12.9","-13.4","-4.1"
"NL11","58803.6497958215","84.0435806631987","12.0","8.4","10.4","10.0","-2.0"
"AT21","45322.1980716122","71.5661109664436","12.0","7.9","12.0","7.9","-4.1"
"EL42","20034.0610474077","178.851019542373","-3.5","9.7","9.9","-3.7","-0.2"
"ITG1","21207.6272895969","82.9449019506017","0.7","7.6","12.3","-4.0","-4.7"
"NL34","46176.4318051954","100.396362667963","13.6","8.9","11.4","11.2","-2.4"
"PL92","16782.0763210001","106.447544890405","-1.5","8.7","12.7","-5.6","-4.1"
"HR02","11997.519663132","63.8632479981689","-5.8","8.4","17.0","-14.4","-8.6"
"FRM0","32693.9500563659","62.3441396508728","14.7","7.8","10.6","11.9","-2.8"
"DE93","34706.8345874258","46.4502223754585","-3.4","8.6","13.8","-8.6","-5.2"
"ES43","22223.9990613243","71.7254222148205","2.9","6.5","11.7","-2.4","-5.3"
"PT1A","36509.6221243601","69.2957310735883","99.6","9.5","10.1","99.0","-0.7"
"ES13","26573.0180664138","63.0283320038739","11.0","5.5","11.5","5.0","-6.0"
"DEA3","39732.5630492426","41.1251438011855","6.8","9.4","12.8","3.4","-3.3"
"RO11","13479.571453649","88.2350260599833","6.8","9.9","13.3","3.3","-3.4"
"EL64","19633.8002055263","172.902477558773","3.4","6.5","15.1","-5.3","-8.6"
"DE30","50519.13379626","58.6435464362475","-11.2","9.8","10.8","-12.2","-1.1"
"FI1B","60718.8199267411","48.8703541817686","9.9","9.3","8.6","10.6","0.7"
"SI03","21897.2863423831","96.8936941638196","6.9","8.2","11.4","3.7","-3.2"
"RO32","36029.5867404991","22.4345028458623","11.0","10.7","12.3","9.4","-1.6"
"BE10","78664.2141203186","67.7163239477315","15.0","11.9","7.2","19.8","4.7"
"PL63","17798.8595127009","89.13052001516","2.0","9.1","11.1","0.1","-1.9"
"DE91","49937.0752231963","34.9372637336122","4.4","8.7","14.2","-1.1","-5.6"
"DK04","54015.0328984385","30.636647571239","11.6","10.4","9.4","12.6","1.0"
"PT19","20457.6327495985","77.2276253974422","31.2","6.7","13.6","24.3","-6.9"
