region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Fleming,,,,,,,,,,,,
Flett's Springs No. 429,240,265,103000,90000,90000,78500,35,43600,200,114000,40,44000
Fleur de Lys,,,,,,,,,,,,
Flin Flon (Part),2280,2250,80000,82000,68500,69500,835,44400,1375,106000,905,46400
Flin Flon (Part),,,,,,,,,,,,
Florenceville-Bristol,680,670,71000,68500,62800,61200,215,35200,450,96000,230,37600
Flower's Cove,,,,,,,,,,,,
Flying Dust First Nation 105,205,170,77000,54400,75000,54400,40,24600,165,88000,45,28000
Flying Dust First Nation 105D,,0,,0,,0,,,,,,
Flying Dust First Nation 105E,,0,,0,,0,,,,,,
Flying Dust First Nation 105F,,0,,0,,0,,,,,,
Flying Post 73,,0,,0,,0,,,,,,
Foam Lake,540,535,58000,54800,54000,49200,210,29000,315,86000,225,30600
Foam Lake No. 276,230,230,62000,53600,58000,50000,55,31000,165,75500,70,34000
Fogo Island,960,980,62400,64000,56400,58000,255,28600,695,79000,265,29600
Fond du Lac 227,240,205,69500,61600,69000,60000,30,19000,205,72500,35,23400
Fontas 1,,0,,0,,0,,,,,,
Foothills County,8450,8135,132000,145000,111000,120000,1285,51200,7000,149000,1455,55600
Foremost,215,225,89000,94000,76000,82000,75,50000,135,114000,75,51200
Forestburg,375,360,79000,88000,70500,76500,120,39200,250,99000,125,41200
Forestville,1475,1445,59600,53200,52800,47600,625,31200,805,89000,675,32800
Forget,,,,,,,,,,,,
Fort Albany (Part) 67,200,210,92000,62000,90000,59600,25,66500,170,95000,25,68500
Fort Albany (Part) 67,,255,,46800,,46800,,,,,,
Fort Alexander 3,580,525,48400,33200,48400,32400,110,21200,430,61600,155,22400
Fort Erie,14080,13185,76000,66000,68000,59600,3910,39600,9760,94000,4325,42400
Fort Folly 1,,,,,,,,,,,,
Fort Frances,3450,3450,76500,68000,68500,61200,1250,44000,2095,104000,1355,46000
Fort George 2,,,,,,,,,,,,
Fort Good Hope,195,165,86000,90000,79500,79000,65,42000,125,133000,70,42400
Fort Hope 64,255,230,50400,47200,50400,47200,40,21400,210,55600,45,21600
Fort Liard,170,160,67500,64500,63200,58800,45,31000,120,79000,50,32400
Fort Macleod,1340,1230,75000,69000,67000,62000,420,38400,885,93000,460,41600
Fort McPherson,255,270,70500,50800,66500,49600,85,29000,165,93000,95,31600
Fort Mckay 174,215,255,72000,80000,71500,80000,55,33600,145,113000,70,36000
Fort Nelson 2,180,155,62400,52800,62400,48400,55,22800,115,83000,60,24200
Fort Providence,255,245,86000,64000,79000,59200,70,39200,175,97000,80,40000
Fort Qu'Appelle,850,900,66500,60800,60400,55200,305,35200,525,85000,330,37200
Fort Resolution,170,190,74500,60000,69000,55200,70,40000,95,96000,75,40400
Fort Rupert 1,,0,,0,,0,,,,,,
Fort San,,,,,,,,,,,,
Fort Saskatchewan,10420,9270,113000,126000,95000,104000,2445,59200,7515,133000,2905,67000
Fort Severn 89,90,80,59600,68000,59600,68000,10,,75,64500,15,
Fort Simpson,455,470,111000,113000,99000,97000,130,47200,290,144000,165,54800
Fort Smith,880,955,120000,115000,104000,100000,225,65500,620,142000,260,74000
Fort St. James,585,645,91000,88000,78500,73500,185,51600,380,111000,205,61600
Fort St. John,8780,7975,102000,111000,89000,93000,2680,57200,5450,125000,3330,65000
Fort Vermilion 173B,,,,,,,,,,,,
Fort Ware 1,,110,,33200,,32800,,,,,,
Fort William 52,360,345,57600,45200,56400,44800,85,27000,260,71000,100,31200
Fort-Coulonge,575,605,60800,53200,55200,49600,185,26600,375,81000,195,27400
Forteau,160,170,82000,93000,71000,82000,35,34000,125,93000,35,36800
Fortierville,285,285,54800,47200,51200,44400,100,27000,175,74000,110,27600
Fortune,615,625,56400,55200,51200,50800,185,25000,420,73000,195,26000
Forty Mile County No. 8,860,865,91000,85000,81000,76500,155,50800,690,99000,170,52000
Fossambault-sur-le-Lac,995,855,103000,89000,86000,74000,255,54400,725,121000,270,54800
Fosston,,,,,,,,,,,,
Fountain 1,,,,,,,,,,,,
Fountain 10,,0,,0,,0,,,,,,
Fountain 11,,0,,0,,0,,,,,,
Fountain 12,,0,,0,,0,,,,,,
Fountain 1B,,,,,,,,,,,,
Fountain 1D,,0,,0,,0,,,,,,
Fountain 3,,0,,0,,0,,,,,,
Fountain 3A,,0,,0,,0,,,,,,
Fountain Creek 8,,0,,0,,0,,,,,,
Four Portages 157C,,0,,0,,0,,,,,,
Fox Cove-Mortier,120,125,54000,69500,51200,62400,30,27600,80,77500,40,28800
Fox Creek,660,775,117000,134000,99000,108000,175,51200,455,139000,205,61200
Fox Harbour,,120,,58800,,52000,,,,,,
Fox Lake 162,365,305,62000,56400,61600,54800,35,41600,325,62000,40,45600
Fox Lake 2,,,,,,,,,,,,
Fox Valley,115,,73000,,65500,,30,41200,85,94000,30,41200
Fox Valley No. 171,,,,,,,,,,,,
Frampton,595,515,69000,62000,60400,53600,205,37200,375,90000,220,40000
Francis,,,,,,,,,,,,
Francis No. 127,255,250,88000,94000,76000,83000,40,46800,210,104000,45,51200
Francois Lake 7,,0,,0,,0,,,,,,
Franklin,715,700,66500,59600,58400,52400,230,30800,460,88000,255,32800
Franquelin,155,160,60800,66500,54000,56000,75,45600,80,89000,75,47200
Fraser Lake,440,445,71000,82000,63600,69500,155,37600,275,101000,175,40400
Fraser Valley A,250,235,44400,34000,42800,31400,115,31400,115,67000,130,34800
Fraser Valley B,395,380,61200,50400,57200,47200,160,34000,210,77500,185,38400
Fraser Valley C,545,465,71000,67000,63600,58400,160,37600,380,87000,165,38000
Fraser Valley D,710,520,109000,100000,94000,85000,120,40000,575,124000,135,41600
Fraser Valley E,650,655,72000,60400,66000,53200,170,36800,445,93000,200,45200
Fraser Valley F,560,535,75000,69000,66500,62000,185,38800,350,111000,210,43200
Fraser Valley G,670,735,77500,60800,69000,54400,195,33200,450,99000,220,39200
Fraser Valley H,1150,865,80000,66500,73000,59200,365,43600,750,112000,405,45200
Fraser-Fort George A,1345,1325,112000,104000,96000,88000,245,54000,1065,124000,275,56800
Fraser-Fort George C,1355,1285,122000,118000,104000,98000,215,57200,1105,138000,250,61600
Fraser-Fort George D,1725,1680,109000,102000,94000,85000,330,49600,1340,123000,385,55200
Fraser-Fort George E,225,225,70000,56000,63600,52400,80,28000,140,91000,85,28400
Fraser-Fort George F,545,540,79500,82000,71000,71500,145,38800,380,100000,170,40800
Fraser-Fort George G,175,165,72500,63200,64000,55600,70,32000,95,106000,80,37600
Fraser-Fort George H,690,680,65000,58000,60000,52000,190,31200,475,79000,215,36400
Fredericton,28480,26095,73000,65500,64000,57200,9690,42400,16715,97000,11765,46400
Fredericton Junction,290,285,67500,62400,60400,56800,85,36400,200,83000,95,39200
Frelighsburg,515,500,70500,63200,62000,55200,150,34800,345,93000,170,39600
French River,1370,1220,68000,66000,62000,58800,430,38400,900,84000,460,39600
French River 13,,,,,,,,,,,,
Frenchman Butte No. 501,405,455,80000,97000,72000,87000,80,32000,315,94000,90,37200
Frenchman's Cove,,,,,,,,,,,,
Frobisher,,,,,,,,,,,,
Front of Yonge,1075,1055,86000,79500,75000,70000,240,36800,810,101000,265,40000
Frontenac,770,715,78000,72000,68000,62000,195,40000,560,97000,205,42000
Frontenac Islands,900,785,90000,87000,81000,75500,235,49200,645,112000,260,50400
Frontier,155,160,72000,76000,64500,67500,55,39600,90,103000,60,40000
Frontier No. 19,,,,,,,,,,,,
Fruitvale,855,820,83000,79500,73500,68000,245,38800,595,100000,265,40400
Fugèreville,150,140,65500,60800,55600,52400,50,36800,90,83000,55,37600
Gagetown,145,135,70500,64500,62000,56400,40,28600,100,87000,40,31000
Gagetown,315,300,73000,68000,62400,61600,85,38400,225,90000,90,39600
Gainsborough,,,,,,,,,,,,
Galiano Island 9,,0,,0,,0,,,,,,
Gallants,,,,,,,,,,,,
Gallichan,230,205,70500,64000,62000,54400,70,40000,155,91000,75,40000
Gambler 63 (Part),,0,,0,,0,,,,,,
Gambler 63 (Part),,,,,,,,,,,,
Gambo,810,795,58800,60400,53200,56400,200,28200,590,70500,220,29400
Gamètì,80,75,116000,93000,105000,83000,15,,65,118000,20,57600
Gananoque,2560,2405,67000,60000,59600,53600,965,37600,1515,90000,1045,40000
Gander,5065,4890,80000,79000,69500,68000,1365,38800,3540,100000,1525,41200
Garden,,0,,0,,0,,,,,,
Garden Hill First Nation,590,505,62000,40000,62000,40000,75,16600,510,68500,80,19000
Garden River 14,420,410,54400,44400,52000,43600,115,23000,290,70500,125,24200
Garden River No. 490,260,255,100000,103000,87000,87000,60,45600,190,123000,65,46000
Garnish,240,245,73000,78000,63200,67000,65,25600,175,87000,70,28800
Garry No. 245,150,140,62800,63600,57600,58000,35,30200,115,75000,35,32000
Gaskiers-Point La Haye,,,,,,,,,,,,
Gaspé,6780,6415,72000,64500,63200,57200,2235,37200,4335,95000,2450,39600
Gatineau,126475,118385,82000,74500,69500,62800,43585,46800,77610,110000,48865,49200
Gaultois,,,,,,,,,,,,
Gauthier,,,,,,,,,,,,
Georgian Bay,1660,1130,82000,73500,72500,65000,545,45600,1075,105000,585,46400
Georgian Bluffs,4495,4260,94000,84000,83000,74000,885,41200,3520,109000,980,44800
Georgina,17895,16820,98000,88000,85000,76500,3915,42400,13355,115000,4540,47600
Gerald,,,,,,,,,,,,
Gesgapegiag,245,260,65500,41200,62400,41200,60,30600,175,79000,70,31800
Ghost Lake,,,,,,,,,,,,
Gibbons,1195,1135,108000,116000,91000,99000,260,48800,895,123000,300,56800
Gibsons,2280,2220,70000,62000,63200,54400,885,40400,1295,97000,985,43200
Gilbert Plains,635,665,60400,54800,54400,48000,215,29400,395,82000,235,30600
Gillam,355,430,142000,148000,113000,116000,90,92000,255,168000,95,92000
Gillams,215,165,68000,63600,61600,57600,55,28400,150,82000,60,31200
Gillies,185,185,90000,72500,76500,67000,40,42400,145,102000,45,42800
Gimli,3140,2940,70500,66500,61600,58400,995,40000,2095,87000,1040,41200
Ginoogaming First Nation,,,,,,,,,,,,
Girardville,470,435,68000,61200,58800,52000,160,43200,305,85000,170,44000
Girouxville,125,,60800,,57200,,40,26000,85,82000,40,26800
Gitanmaax 1,210,215,53200,50800,52400,48000,45,25400,150,62800,60,30600
Gitanyow 1,125,125,65000,35600,61600,34400,25,26400,95,77000,30,27400
Gitsegukla 1,145,125,54000,33200,52000,32400,25,21800,110,62800,35,25800
Gitwangak 1,145,135,55200,36800,54800,36000,35,23200,105,66500,40,29800
Gjoa Haven,290,285,100000,77500,95000,74000,40,79500,245,107000,45,87000
Gladstone,205,195,66000,59600,59600,52000,50,32400,145,81000,60,33200
Gladue Lake 105B,,0,,0,,0,,,,,,
Glaslyn,160,160,62800,63600,58800,53600,55,33200,100,79000,65,37200
Glen Bain No. 105,,,,,,,,,,,,
Glen Ewen,,,,,,,,,,,,
Glen Harbour,,,,,,,,,,,,
Glen McPherson No. 46,,,,,,,,,,,,
Glenavon,,,,,,,,,,,,
Glenboro-South Cypress,440,515,73000,70500,64500,62000,135,39600,290,93000,145,41200
Glenburnie-Birchy Head-Shoal Brook,,,,,,,,,,,,
Glendon,135,210,78500,86000,67000,73500,40,40000,85,106000,50,50800
Glenelg,655,645,68500,64000,61600,57600,165,38800,475,80000,180,40000
Glenella-Lansdowne,375,400,59200,55600,54000,50000,90,27000,275,69500,100,28200
Glenside,,,,,,,,,,,,
Glenside No. 377,,,,,,,,,,,,
Glenwood,330,330,65500,61200,57600,54400,80,35600,240,74500,90,39200
Glenwood,100,110,64500,63200,59200,62800,25,27200,75,80000,30,29000
Glooscap 35,,,,,,,,,,,,
Glovertown,825,840,63200,65500,57200,59600,190,27800,625,75500,195,29400
God's Lake 23,325,295,56800,32000,56800,32000,25,20200,295,62400,35,21200
God's River 86A,150,110,66500,34800,66500,34800,15,,135,73500,15,
Godbout,155,150,54800,43600,47600,41200,75,27800,80,75500,75,28000
Goderich,3670,3480,69500,65000,62800,58400,1310,38000,2270,94000,1395,39600
Godmanchester,580,570,65000,58800,57600,52800,150,33600,415,80000,165,35600
Gold River,610,575,66500,66500,60400,58400,200,36800,390,88000,225,38400
Gold River 21,,,,,,,,,,,,
Golden,1730,1595,87000,80000,76000,68500,530,42000,1085,110000,655,48800
Golden Days,,,,,,,,,,,,
Golden Prairie,,0,,0,,0,,,,,,
Golden West No. 95,115,120,81000,85000,72500,74000,25,41600,85,101000,30,42800
Good Hope Lake,,0,,0,,0,,,,,,
Good Lake No. 274,420,330,77000,74000,69000,67000,110,40000,310,90000,115,40000
Goodeve,,,,,,,,,,,,
Goodsoil,125,125,62400,58400,59200,55200,45,35200,80,78500,50,37200
Goodwater,,0,,0,,0,,,,,,
Goose Cove East,,,,,,,,,,,,
Gordon,695,665,60400,55600,55200,51600,180,30800,495,74000,200,34000
Gordon 86,240,220,43600,25200,43200,25200,55,20200,165,57200,65,19800
Gordon River 2,,,,,,,,,,,,
Gordon/Barrie Island,295,220,68500,61600,62800,54800,85,32000,205,86000,85,35200
Gore,1125,905,73000,66500,63200,56800,385,44800,700,93000,425,48800
Gore Bay,380,405,65500,60800,59200,54800,155,34000,220,97000,165,36800
Goulais Bay 15A,,0,,0,,0,,,,,,
Govan,,,,,,,,,,,,
Gracefield,1130,1130,57600,48000,52400,43600,410,28600,675,79500,455,30600
Grahamdale,580,560,58000,61200,52800,55200,180,27600,385,75500,195,29400
Granby,31850,29945,62800,56800,55600,50400,12195,35200,18685,89000,13165,37200
Grand Bank,1025,1040,55200,56000,51200,51200,310,27200,700,73000,330,28000
Grand Bay-Westfield,1965,1935,98000,92000,84000,77500,380,45200,1545,113000,425,47200
Grand Coulee,200,200,138000,155000,116000,127000,20,68000,175,146000,25,69500
Grand Falls,455,460,74500,62000,67000,55200,100,32000,340,90000,115,35200
Grand Falls,2495,2470,58800,54400,53200,49600,920,29000,1495,84000,1000,31600
Grand Falls-Windsor,6125,6090,66000,65500,58800,58400,1785,29800,4165,86000,1960,32000
Grand Forks,1870,1865,61600,53200,56800,48400,625,34400,1165,80000,710,37200
Grand Le Pierre,,,,,,,,,,,,
Grand Manan,,,,,,,,,,,,
Grand Manan,1180,1075,76000,67000,66500,58400,395,36400,750,99000,430,38800
Grand Rapids,,100,,84000,,71500,,,,,,
Grand Rapids 33,240,225,60000,43200,59200,42800,30,27600,200,65000,45,32400
Grand Valley,1395,1110,101000,87000,87000,76000,290,44400,1075,114000,320,47600
Grand-Métis,,,,,,,,,,,,
Grand-Remous,565,540,56800,45200,50800,41600,215,30600,325,78000,235,33200
Grand-Saint-Esprit,205,200,72500,70000,64000,62800,55,31200,145,84000,60,31400
Grande Prairie,24820,23675,102000,114000,88000,96000,6505,52800,16715,124000,8105,61200
Grande Prairie County No. 1,8355,7685,120000,134000,102000,111000,1360,54400,6765,135000,1590,61200
Grande-Anse,360,445,52800,55600,48800,49600,125,31600,225,70500,140,33600
Grande-Rivière,1640,1610,60400,49600,54000,45200,610,30200,965,84000,675,34000
Grande-Vallée,530,495,60400,55600,55600,50000,195,33200,330,82000,205,34000
Grandes-Piles,260,210,70500,53200,61200,48000,95,38000,155,98000,100,38800
Grandmother's Bay 219,105,100,50000,23400,50000,23400,15,,85,53600,20,
Grandview,660,670,57600,56400,51600,51200,245,35600,395,82000,260,36800
Grandview,,,,,,,,,,,,
Grandview Beach,,0,,0,,0,,,,,,
Grandview No. 349,,,,,,,,,,,,
Granisle,195,175,47200,46400,46000,44000,100,31400,90,76500,100,31200
Grant No. 372,190,170,88000,81000,79500,71000,35,41600,150,103000,40,41600
Granville Lake,,0,,0,,0,,,,,,
Grass Lake No. 381,160,160,80000,87000,74500,77000,35,46800,120,92000,40,50000
Grassland,550,545,74500,75000,64500,65500,160,37600,380,94000,175,39600
Grassy Creek No. 78,130,135,90000,94000,77000,79500,30,55200,100,101000,30,55600
Gravelbourg,440,470,73000,62800,65000,57600,160,42400,270,93000,170,43600
Gravelbourg No. 104,125,0,91000,0,81000,0,20,46800,95,104000,25,46800
Gravenhurst,5495,5015,73500,64500,66000,58000,1620,38800,3655,93000,1840,42000
Grayson,,,,,,,,,,,,
Grayson No. 184,230,220,88000,72000,75000,63600,45,44000,180,97000,50,50400
Great Bend No. 405,145,205,83000,79000,70000,70000,25,41600,125,89000,25,40800
Greater Madawaska,1345,1180,81000,70000,71500,62000,385,44400,910,104000,435,46800
Greater Napanee,6865,6580,77500,69500,69500,62000,1870,35200,4785,96000,2080,38000
Greater Sudbury,71475,69150,84000,77500,74000,68000,22040,41600,46420,112000,25060,45200
Green Lake,170,170,65500,45600,60000,44000,60,29600,105,84000,65,30800
Greenmount-Montrose,100,115,76000,83000,68000,72500,15,,85,92000,20,46800
Greenspond,115,110,67000,81000,62800,71000,25,31600,90,81000,30,32800
Greenstone,1920,2035,72000,68500,64500,61600,625,38800,1230,97000,690,41200
Greenview No. 16,3230,3365,97000,105000,84000,88000,750,48000,2360,115000,875,58000
Greenwich,500,450,65500,64000,60400,57600,135,36400,350,82000,150,37600
Greenwood,375,345,47600,42000,44800,39600,160,26400,205,60800,170,27800
Gregoire Lake 176,,,,,,,,,,,,
Gregoire Lake 176A,,,,,,,,,,,,
Greig Lake,,0,,0,,0,,,,,,
Grenfell,485,495,65500,59200,57200,53600,180,31000,290,81000,190,32400
Grenville,905,795,55200,48800,49600,44800,355,31800,515,76500,385,35200
Grenville-sur-la-Rouge,1375,1305,61600,58400,54000,52400,490,35600,850,82000,525,37600
Grey,960,980,73500,68500,64500,60000,265,38400,665,94000,295,40000
Grey Highlands,4090,3905,85000,73000,75000,64500,1030,38000,2955,104000,1140,41200
Griffin No. 66,155,160,92000,88000,81000,75500,25,45600,125,97000,30,50800
Grimsby,11395,10375,104000,101000,89000,86000,2770,50800,8425,125000,2970,52800
Grimshaw,1080,1060,87000,97000,76000,83000,325,47600,705,110000,375,50800
Grise Fiord,,,,,,,,,,,,
Grizzly Bear's Head 110 and Lean Man 111,,,,,,,,,,,,
Gros Cap 49,,,,,,,,,,,,
Gros-Mécatina,185,0,58000,0,52800,0,55,38400,115,81000,60,39600
Grosse-Île,220,210,86000,88000,75000,74000,85,37200,135,124000,85,37600
Grosses-Roches,205,210,41600,38400,40800,36800,85,26200,110,66000,100,28000
Guelph,56480,52090,93000,84000,82000,73500,15210,46000,37920,117000,18565,51600
Guelph/Eramosa,4840,4485,129000,119000,110000,100000,735,51600,4010,144000,830,55600
Guhthe Tah 12,,,,,,,,,,,,
Gull Lake,410,455,73000,70500,64000,63600,140,40000,250,100000,150,42800
Gull Lake,,,,,,,,,,,,
Gull Lake No. 139,,,,,,,,,,,,
Gull River 55,,,,,,,,,,,,
Guysborough,2220,2200,54000,52000,49600,47200,750,26600,1390,74000,830,28200
Guérin,135,120,73000,58400,63600,54400,35,36800,100,88000,35,36800
Gwayasdums 1,,0,,0,,0,,,,,,
Hafford,190,180,54400,54000,49600,50400,75,28400,110,81000,75,28600
Hague,340,330,88000,89000,77000,77000,85,40800,230,110000,105,44800
Hagwilget 1,,,,,,,,,,,,
Haines Junction,310,275,89000,76000,78000,67500,110,48400,190,119000,120,51200
Halalt 2,,,,,,,,,,,,
Halbrite,,,,,,,,,,,,
Haldimand County,18720,17505,93000,82000,81000,72500,4235,42400,14050,110000,4670,45200
Half Moon Bay,,,,,,,,,,,,
Halfway River 168,,,,,,,,,,,,
Halhalaeden,,0,,0,,0,,,,,,
Halifax,190510,173325,81000,75500,69500,64000,56935,42400,120165,106000,70350,47600
Halkirk,,,,,,,,,,,,
Hall Beach,200,175,87000,85000,82000,80000,25,28400,165,88000,30,28400
Halton Hills,21825,21080,127000,115000,107000,97000,3890,48800,17410,146000,4410,52000
Ham-Nord,395,365,51200,51600,47600,48400,150,29600,230,73500,165,33600
Ham-Sud,,,,,,,,,,,,
Hamilton,4280,4280,106000,95000,91000,82000,770,48400,3425,122000,855,51200
Hamilton,222810,211595,86000,74500,75500,66000,62110,40400,151160,110000,71645,44000
Hamilton Creek 2,,0,,0,,0,,,,,,
Hamiota,540,535,71000,66000,62400,58400,165,34400,360,94000,180,34800
Hammond,130,,50000,,48800,,40,24800,85,70000,45,26400
Hampden,195,175,59200,58800,53600,54000,35,24600,155,66000,45,29400
Hampden,,,,,,,,,,,,
Hampshire,130,0,94000,0,77000,0,20,,105,100000,20,36000
Hampstead,130,125,52000,46400,49600,43600,45,27000,85,70000,45,28400
Hampstead,2495,2475,150000,133000,118000,107000,520,50800,1905,198000,585,53200
Hampton,1165,1090,89000,85000,77000,72000,220,38400,920,102000,245,41200
Hampton,1740,1640,86000,82000,74500,71000,390,39200,1325,102000,415,41600
Hanley,230,235,74500,75000,67000,65500,75,40400,155,93000,75,40800
Hanna,1100,1145,74000,77000,65500,67000,395,40000,660,104000,440,43600
Hanover,3445,3335,69000,59200,62400,54000,1145,35200,2185,90000,1260,37600
Hanover,5140,4480,88000,81000,76500,71000,690,39200,4335,95000,805,43200
Hant's Harbour,160,155,54400,54400,48000,51200,45,25600,110,68500,50,26800
Hanwell,1800,1725,106000,104000,90000,87000,300,44000,1450,121000,345,48000
Happy Adventure,,,,,,,,,,,,
Happy Valley No. 10,,,,,,,,,,,,
Happy Valley-Goose Bay,3075,3030,107000,122000,91000,100000,700,52800,2270,127000,805,57200
Happyland No. 231,110,,94000,,89000,,20,45600,90,102000,20,45600
Harbour Breton,635,655,72500,70500,63600,61600,140,27800,475,86000,155,30600
Harbour Grace,1310,1335,57600,59200,53600,53200,395,26400,880,78000,430,27600
Harbour Main-Chapel's Cove-Lakeview,465,440,78000,101000,69500,83000,120,32800,330,104000,140,38400
Harcourt,170,165,48000,42800,43600,38400,75,25800,95,72000,80,26600
Hardisty,245,255,79500,94000,71500,78000,85,42000,160,117000,90,45600
