"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"OXFORD","1626","445000","8.794587945879458","27.121771217712176","30.13530135301353","29.15129151291513","5.350553505535055"
"SOUTH OXFORDSHIRE","2624","435000","31.402439024390244","29.801829268292682","19.664634146341463","13.338414634146341","14.0625"
"LAMBETH","4316","535000","1.0426320667284523","5.143651529193698","19.045412418906395","70.34291010194625","5.398517145505097"
"RUTLAND","731","350000","46.37482900136799","20.79343365253078","20.930232558139537","4.7879616963064295","9.165526675786595"
"BLABY","1611","270000","31.9056486654252","45.189323401613905","16.635630043451272","3.4761018001241464","8.13159528243327"
"COUNTY DURHAM","10428","117500","20.07096279248178","26.94668200997315","45.761411584196395","2.7905638665132337","7.978519370924435"
"CONWY","2080","210000","34.375","28.990384615384617","15.817307692307692","14.375","1.5384615384615385"
"BEDFORD","2822","330000","28.70304748405386","31.467044649184974","22.749822820694543","12.331679659815734","13.359319631467045"
"WILTSHIRE","8490","310000","31.48409893992933","26.489988221436985","24.80565371024735","10.965842167255595","9.187279151943462"
"SOUTH HOLLAND","1823","230000","52.11190345584202","28.52441031267142","11.24520021941854","1.7553483269336259","18.04717498628634"
"TEIGNBRIDGE","2410","295000","32.863070539419084","20.95435684647303","25.560165975103736","13.526970954356846","9.04564315352697"
"GWYNEDD","1943","185000","28.152341739577974","16.46937725167267","36.33556356150283","5.249613998970664","0.6690684508492023"
"WEST SUFFOLK","2931","285000","33.43568747867622","24.121460252473558","27.49914704878881","8.734220402592971","9.34834527465029"
"EAST STAFFORDSHIRE","2277","223250","31.927975406236275","30.69828722002635","26.96530522617479","4.655248133509003","14.668423364075538"
"LEEDS","12700","230000","15.921259842519685","35.74015748031496","29.228346456692915","14.952755905511811","10.409448818897637"
"BOLTON","4317","183000","18.13759555246699","31.225388000926568","36.27519110493398","7.945332406763956","7.366226546212648"
"EAST RIDING OF YORKSHIRE","7256","218414","33.71003307607497","35.005512679162074","21.168687982359426","5.443770672546858","18.426130099228224"
"LINCOLN","1513","175000","17.911434236615996","27.09847984137475","39.72240581625909","10.641110376734964","3.8334434897554526"
"CHELTENHAM","2275","320000","14.637362637362637","26.54945054945055","26.63736263736264","27.296703296703296","2.7252747252747254"
"BRENT","2593","525000","3.1237948322406477","16.274585422290784","22.136521403779405","51.25337446972618","5.322020825298882"
"WEST DEVON","1049","290000","36.224976167778834","20.686367969494757","21.353670162059103","9.818875119161106","12.678741658722593"
"CHESHIRE WEST AND CHESTER","6065","250000","29.332234130255564","33.43775762572135","22.192910140148392","9.282769991755977","8.936521022258862"
"HIGH PEAK","1680","255000","23.80952380952381","27.797619047619047","31.25","10","8.095238095238095"
"EXETER","1984","300000","16.431451612903224","21.52217741935484","35.98790322580645","20.06048387096774","10.63508064516129"
"BRIDGEND","2221","205000","24.40342188203512","36.515083295812694","30.571814497973886","4.187303016659163","3.5569563259792885"
"REDDITCH","1271","240000","25.491738788355626","27.61605035405193","31.23524783634933","10.93627065302911","3.147128245476003"
"TORFAEN","1231","190000","22.826969943135662","23.88302193338749","42.1608448415922","4.8740861088545895","6.823720552396425"
"CENTRAL BEDFORDSHIRE","5340","365000","30.149812734082396","29.8876404494382","24.794007490636705","10.936329588014981","15.955056179775282"
"FOREST OF DEAN","1344","275000","41.294642857142854","28.86904761904762","18.229166666666668","3.794642857142857","11.160714285714286"
"DARTFORD","1878","346500","10.489882854100106","23.269435569755057","31.096911608093716","31.842385516506923","17.252396166134186"
"RUSHMOOR","1540","339250","15.12987012987013","24.675324675324674","26.2987012987013","30.844155844155843","14.74025974025974"
"SUNDERLAND","4587","130000","15.369522563767168","31.02245476346196","38.434706780030524","8.785698713756268","8.69849574885546"
"SUTTON","2705","445000","8.465804066543438","22.43992606284658","29.42698706099815","35.74861367837338","0.7393715341959335"
"NORTH NORFOLK","1989","300000","42.936148818501756","19.90950226244344","18.149824032176973","9.502262443438914","1.6591251885369533"
"FLINTSHIRE","2250","200000","34.84444444444444","37.6","18.133333333333333","3.911111111111111","3.911111111111111"
"CITY OF KINGSTON UPON HULL","4061","128000","7.978330460477715","23.811868997783797","55.77443979315439","7.313469588771238","10.490027086924403"
"STRATFORD-ON-AVON","2863","360000","36.639888229130285","26.720223541739433","18.581907090464547","10.164163464896962","18.162766329025498"
"WINDSOR AND MAIDENHEAD","2432","520000","22.98519736842105","21.34046052631579","20.929276315789473","26.151315789473685","9.662828947368421"
"FENLAND","1898","226500","43.41412012644889","30.347734457323497","16.332982086406744","3.3719704952581666","13.698630136986301"
"CUMBERLAND","5315","165000","25.02351834430856","30.423330197554094","33.41486359360301","4.816556914393226","11.420507996237065"
"WIGAN","5624","175000","17.923186344238974","37.16216216216216","33.73044096728307","5.138691322901849","8.285917496443812"
"CARMARTHENSHIRE","2688","182500","32.47767857142857","30.357142857142858","25.40922619047619","0.7440476190476191","4.464285714285714"
"SEVENOAKS","1748","460000","27.68878718535469","23.169336384439358","25.97254004576659","14.931350114416476","1.4874141876430207"
"HACKNEY","3004","580000","0.2996005326231691","1.7643142476697737","15.279627163781624","76.2982689747004","12.84953395472703"
"GOSPORT","1287","245000","11.11111111111111","23.543123543123542","36.82983682983683","24.553224553224553","2.5641025641025643"
"BLAENAU GWENT","883","125000","10.079275198187995","19.365798414496037","62.62740656851642","1.4722536806342015","4.64326160815402"
"CANNOCK CHASE","1486","216000","28.869448183041722","42.462987886944816","16.55450874831763","7.537012113055182","4.508748317631225"
"THREE RIVERS","1293","525000","23.820572312451663","28.53828306264501","18.948182521268368","24.593967517401392","9.358081979891725"
"DUDLEY","4371","220000","19.81239990848776","40.745824754060855","25.371768474033402","8.853809196980096","5.856783344772364"
"GREENWICH","3631","450000","1.6799779675020656","9.639217846323326","29.606169099421646","54.88846047920683","16.02864224731479"
"YORK","3403","300000","18.307375844842785","28.85689097854834","27.769615045548047","20.452541874816337","11.724948574786954"
"OADBY AND WIGSTON","868","270000","29.377880184331797","45.73732718894009","16.93548387096774","4.2626728110599075","17.28110599078341"
"EASTLEIGH","2308","338278","30.89254766031196","26.126516464471404","23.050259965337954","16.074523396880416","9.66204506065858"
"SOUTH CAMBRIDGESHIRE","2701","426500","40.170307293594966","26.249537208441318","19.51129211403184","8.84857460199926","20.54794520547945"
