variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_public_pension vs land_tax_homeowner_recipients_per1000,province(n=11),corr=0.804,kommune(n=98),corr=0.447,magnitude_change,yes,yes
avg_disability_oldage_pension vs avg_private_pension,province(n=11),corr=0.389,kommune(n=98),corr=0.121,magnitude_change,no,no
avg_disability_oldage_pension vs avg_capital_income,province(n=11),corr=-0.447,kommune(n=98),corr=-0.239,magnitude_change,no,yes
avg_disability_oldage_pension vs avg_interest_received,province(n=11),corr=-0.49,kommune(n=98),corr=-0.329,magnitude_change,no,yes
avg_disability_oldage_pension vs avg_income_tax,province(n=11),corr=-0.585,kommune(n=98),corr=-0.456,similar,no,yes
avg_disability_oldage_pension vs avg_taxable_income,province(n=11),corr=-0.671,kommune(n=98),corr=-0.529,similar,yes,yes
avg_disability_oldage_pension vs entrepreneurial_income_recipients_per1000,province(n=11),corr=0.823,kommune(n=98),corr=0.626,similar,yes,yes
avg_disability_oldage_pension vs unemployment_benefit_recipients_per1000,province(n=11),corr=-0.596,kommune(n=98),corr=-0.158,magnitude_change,no,no
avg_disability_oldage_pension vs cash_benefit_recipients_per1000,province(n=11),corr=-0.199,kommune(n=98),corr=0.03,magnitude_change,no,no
avg_disability_oldage_pension vs educational_grant_recipients_per1000,province(n=11),corr=-0.83,kommune(n=98),corr=-0.679,similar,yes,yes
avg_disability_oldage_pension vs child_benefit_recipients_per1000,province(n=11),corr=-0.57,kommune(n=98),corr=-0.811,magnitude_change,no,yes
avg_disability_oldage_pension vs disability_oldage_pension_recipients_per1000,province(n=11),corr=0.992,kommune(n=98),corr=0.982,similar,yes,yes
avg_disability_oldage_pension vs public_servants_pension_recipients_per1000,province(n=11),corr=0.686,kommune(n=98),corr=0.355,magnitude_change,yes,yes
avg_disability_oldage_pension vs private_pension_recipients_per1000,province(n=11),corr=0.914,kommune(n=98),corr=0.795,similar,yes,yes
